TitleName,TvRating,Genre,TitleId,YearMade,Score 
hot girls wanted: turned on,2017,Drama,TV-MA,140,0
the discovery,2017,Drama,TV-MA,141,0
13 reasons why,2017,Drama,TV-MA,142,99
sandy wexler,2017,Drama,TV-14,143,92
chewing gum,2017,Drama,TV-MA,144,93
win it all,2017,Drama,TV-MA,145,0
merlã­,2015,Drama,TV-PG,146,0
amy schumer: the leather special,2017,Drama,TV-MA,147,0
louis c.k. 2017,2017,Drama,TV-MA,148,71
dave chappelle,2017,Drama,TV-MA,149,94
almost adults,2016,Drama,NR,150,0
the brothers,2001,Drama,R,151,0
skins,2013,Drama,TV-MA,152,0
the cleveland show,2012,Drama,TV-14,153,88
absolutely fabulous,2012,Drama,TV-14,154,59
don't trust the b---- in apartment 23,2012,Drama,TV-14,155,0
raising hope,2013,Drama,TV-14,156,73
come fly with me,2010,Drama,TV-14,157,0
orange is the new black,2016,Drama,TV-MA,158,98
brickleberry,2014,Drama,TV-MA,159,63
bates motel,2016,Drama,TV-14,160,83
bojack horseman,2016,Drama,TV-MA,161,0
being mary jane: the series,2016,Drama,TV-14,162,0
documentary now!,2016,Drama,TV-14,163,0
grace and frankie,2017,Drama,TV-MA,164,90
unbreakable kimmy schmidt,2016,Drama,TV-14,165,0
the get down,2017,Drama,TV-MA,166,80
love,2017,Drama,TV-MA,167,0
bordertown,2016,Drama,TV-14,168,86
jane the virgin,2016,Drama,TV-14,169,91
schitt's creek,2016,Drama,TV-14,170,74
dope,2015,Drama,R,171,79
lovesick,2016,Drama,TV-MA,172,0
the carmichael show,2016,Drama,TV-14,173,69
cooper barrett's guide to surviving life,2016,Drama,TV-14,174,0
the great british baking show,2016,Drama,TV-PG,175,94
november rule,2015,Drama,TV-14,176,0
life in pieces,2015,Drama,TV-14,177,68
crazy ex-girlfriend,2017,Drama,TV-14,178,0
easy,2016,Drama,TV-MA,179,0
haters back off,2016,Drama,TV-14,180,58
kubo and the two strings,2016,Drama,PG,181,96
skins,2017,Drama,TV-MA,182,0
a weekend with the family,2016,Drama,TV-MA,183,0
