titleName,tvRating,genre,titleId,yearMade,score
Cooper Barrett's Guide to Surviving Life,TV-14,Drama,131,2016,0
The Great British Baking Show,TV-PG,Drama,132,2016,94
Life in Pieces,TV-14,Drama,133,2015,68
Crazy Ex-Girlfriend,TV-14,Drama,134,2017,0
Easy,TV-MA,Drama,135,2016,0
Santa Clarita Diet,TV-MA,Drama,136,2017,82
No Tomorrow,TV-14,Drama,137,2016,0
Minimalism: A Documentary About the Important Things,TV-PG,Drama,138,2016,0
Girlboss,TV-MA,Drama,139,2017,94
Hot Girls Wanted: Turned On,TV-MA,Drama,140,2017,0
The Discovery,TV-MA,Drama,141,2017,0
13 Reasons Why,TV-MA,Drama,142,2017,99
Sandy Wexler,TV-14,Drama,143,2017,92
Chewing Gum,TV-MA,Drama,144,2017,93
Win It All,TV-MA,Drama,145,2017,0
MerlÃ­,TV-PG,Drama,146,2015,0
Amy Schumer: The Leather Special,TV-MA,Drama,147,2017,0
Louis C.K. 2017,TV-MA,Drama,148,2017,71
Dave Chappelle,TV-MA,Drama,149,2017,94
Almost Adults,NR,Drama,150,2016,0
The Brothers,R,Drama,151,2001,0
Skins,TV-MA,Drama,152,2013,0
The Cleveland Show,TV-14,Drama,153,2012,88
Absolutely Fabulous,TV-14,Drama,154,2012,59
Don't Trust the B---- in Apartment 23,TV-14,Drama,155,2012,0
Raising Hope,TV-14,Drama,156,2013,73
Come Fly With Me,TV-14,Drama,157,2010,0
Orange Is the New Black,TV-MA,Drama,158,2016,98
Brickleberry,TV-MA,Drama,159,2014,63
Bates Motel,TV-14,Drama,160,2016,83
BoJack Horseman,TV-MA,Drama,161,2016,0
Being Mary Jane: The Series,TV-14,Drama,162,2016,0
Documentary Now!,TV-14,Drama,163,2016,0
Grace and Frankie,TV-MA,Drama,164,2017,90
Unbreakable Kimmy Schmidt,TV-14,Drama,165,2016,0
The Get Down,TV-MA,Drama,166,2017,80
Love,TV-MA,Drama,167,2017,0
Bordertown,TV-14,Drama,168,2016,86
Jane The Virgin,TV-14,Drama,169,2016,91
Schitt's Creek,TV-14,Drama,170,2016,74
Dope,R,Drama,171,2015,79
Lovesick,TV-MA,Drama,172,2016,0
The Carmichael Show,TV-14,Drama,173,2016,69
Cooper Barrett's Guide to Surviving Life,TV-14,Drama,174,2016,0
The Great British Baking Show,TV-PG,Drama,175,2016,94
November Rule,TV-14,Drama,176,2015,0
Life in Pieces,TV-14,Drama,177,2015,68
Crazy Ex-Girlfriend,TV-14,Drama,178,2017,0
Easy,TV-MA,Drama,179,2016,0
Haters Back Off,TV-14,Drama,180,2016,58
Kubo and the Two Strings,PG,Drama,181,2016,96
Skins,TV-MA,Drama,182,2017,0
A Weekend with the Family,TV-MA,Drama,183,2016,0
Crazyhead,TV-MA,Drama,184,2016,0
Queen of Katwe,PG,Drama,185,2016,0
Little Boxes,TV-14,Drama,186,2016,61
Deidra & Laney Rob a Train,TV-14,Drama,187,2017,0
Girlboss,TV-MA,Drama,188,2017,94
Hot Girls Wanted: Turned On,TV-MA,Drama,189,2017,0
13 Reasons Why,TV-MA,Drama,190,2017,99
Hurricane Bianca,TV-MA,Drama,191,2016,0
Honeytrap,NR,Drama,192,2014,0
Greenleaf,TV-14,Drama,193,2016,62
Lazy Eye,TV-MA,Drama,194,2016,0
Like Cotton Twines,NR,Drama,195,2016,0
The Wedding Party,TV-14,Drama,196,2016,0
Dave Chappelle,TV-MA,Drama,197,2017,94
Only for One Night,TV-MA,Drama,198,2016,78
Boy Bye,TV-MA,Drama,199,2016,0
Almost Adults,NR,Drama,200,2016,0
Nancy Drew,PG,Drama,201,2007,0
30 Rock,TV-14,Drama,202,2012,66
Nurse Jackie,TV-MA,Drama,203,2015,82
Parks and Recreation,TV-14,Drama,204,2015,94
Drop Dead Diva,TV-PG,Drama,205,2014,0
Gilmore Girls,TV-14,Drama,206,2006,91
Parenthood,TV-14,Drama,207,2014,79
Life Unexpected,TV-PG,Drama,208,2010,55
Portlandia,TV-14,Drama,209,2016,62
New Girl,TV-14,Drama,210,2016,91
Don't Trust the B---- in Apartment 23,TV-14,Drama,211,2012,0
Raising Hope,TV-14,Drama,212,2013,73
Being Human (U.S.),TV-14,Drama,213,2014,58
Friends with Benefits,TV-14,Drama,214,2011,0
The Carrie Diaries,TV-14,Drama,215,2013,0
Baby Daddy,TV-14,Drama,216,2016,80
Halt and Catch Fire,TV-14,Drama,217,2016,0
The Angriest Man in Brooklyn,R,Drama,218,2014,0
5 to 7,R,Drama,219,2014,0
Chef's Table,TV-MA,Drama,220,2017,0
Grace and Frankie,TV-MA,Drama,221,2017,90
Unbreakable Kimmy Schmidt,TV-14,Drama,222,2016,0
The Get Down,TV-MA,Drama,223,2017,80
Sense8,TV-MA,Drama,224,2017,81
Love,TV-MA,Drama,225,2017,0
Bordertown,TV-14,Drama,226,2016,86
Girlfriends' Guide to Divorce,TV-14,Drama,227,2015,63
Schitt's Creek,TV-14,Drama,228,2016,74
The Carmichael Show,TV-14,Drama,229,2016,69
Chelsea,TV-MA,Drama,230,2017,0
Abstract: The Art of Design,TV-14,Drama,231,2017,0
Cooper Barrett's Guide to Surviving Life,TV-14,Drama,232,2016,0
The Great British Baking Show,TV-PG,Drama,233,2016,94
Life in Pieces,TV-14,Drama,234,2015,68
Crazy Ex-Girlfriend,TV-14,Drama,235,2017,0
Fried,TV-MA,Drama,236,2015,0
The Great Gilly Hopkins,PG,Drama,237,2016,69
The Magicians,TV-MA,Drama,238,2016,89
One Day at a Time,TV-PG,Drama,239,2017,0
No Tomorrow,TV-14,Drama,240,2016,0
Hot Girls Wanted: Turned On,TV-MA,Drama,241,2017,0
13 Reasons Why,TV-MA,Drama,242,2017,99
Better Off Single,TV-MA,Drama,243,2016,0
Sandy Wexler,TV-14,Drama,244,2017,92
Chewing Gum,TV-MA,Drama,245,2017,93
The Matchbreaker,PG,Drama,246,2016,79
Tramps,TV-MA,Drama,247,2017,0
Slam,TV-MA,Drama,248,2017,0
Cheer Squad,TV-PG,Drama,249,2016,61
Almost Adults,NR,Drama,250,2016,0
The Waterboy,PG-13,Drama,251,1998,82
10 Things I Hate About You,PG-13,Drama,252,1999,68
Grease,PG,Drama,253,1978,86
How to Lose a Guy in 10 Days,PG-13,Drama,254,2003,56
The Benchwarmers,PG-13,Drama,255,2006,77
Step Up,PG-13,Drama,256,2006,64
High School Musical 2,TV-G,Drama,257,2007,58
Twilight,PG-13,Drama,258,2008,89
Coraline,PG,Drama,259,2009,95
Hannah Montana: The Movie,G,Drama,260,2009,56
The Office (U.S.),TV-14,Drama,261,2012,97
Friday Night Lights,TV-PG,Drama,262,2010,81
StarStruck,TV-G,Drama,263,2010,0
Grey's Anatomy,TV-14,Drama,264,2016,98
Prison Break,TV-14,Drama,265,2008,98
90210,TV-14,Drama,266,2013,62
Gossip Girl,TV-14,Drama,267,2012,96
How I Met Your Mother,TV-PG,Drama,268,2014,94
Glee,TV-PG,Drama,269,2015,92
The Vampire Diaries,TV-14,Drama,270,2017,91
Family Guy,TV-MA,Drama,271,2015,98
Criminal Minds,TV-14,Drama,272,2016,98
Friends,TV-14,Drama,273,2003,98
Mean Girls 2,PG-13,Drama,274,2011,0
The Secret Life of the American Teenager,TV-14,Drama,275,2013,81
That '70s Show,TV-14,Drama,276,2005,89
Gilmore Girls,TV-14,Drama,277,2006,91
Parenthood,TV-14,Drama,278,2014,79
Heartland,TV-PG,Drama,279,2015,85
Pretty Little Liars,TV-14,Drama,280,2016,96
Shameless (U.S.),TV-MA,Drama,281,2016,97
Switched at Birth,TV-14,Drama,282,2015,83
New Girl,TV-14,Drama,283,2016,91
Hart of Dixie,TV-PG,Drama,284,2014,81
The Client List,TV-14,Drama,285,2013,92
The Carrie Diaries,TV-14,Drama,286,2013,0
Safe Haven,PG-13,Drama,287,2013,62
Baby Daddy,TV-14,Drama,288,2016,80
The Night Shift,TV-14,Drama,289,2015,93
Reign,TV-14,Drama,290,2015,79
Grace and Frankie,TV-MA,Drama,291,2017,90
How to Get Away with Murder,TV-14,Drama,292,2016,95
Fuller House,TV-G,Drama,293,2016,90
Finding Dory,PG,Drama,294,2016,98
Gilmore Girls: A Year in the Life,TV-14,Drama,295,2016,77
13 Reasons Why,TV-MA,Drama,296,2017,99
Gabriel lglesias: Iâ€™m Sorry For What I Said When I Was Hungry,TV-14,Drama,297,2016,84
Amy Schumer: The Leather Special,TV-MA,Drama,298,2017,0
Cheer Squad,TV-PG,Drama,299,2016,61
Dave Chappelle,TV-MA,Drama,300,2017,94
The Waterboy,PG-13,Drama,301,1998,82
Grease,PG,Drama,302,1978,86
The Wedding Planner,PG-13,Drama,303,2001,0
Blow,R,Drama,304,2001,78
High School Musical,TV-G,Drama,305,2006,64
High School Musical 2,TV-G,Drama,306,2007,58
