TitleName,YearMade,Genre,TvRating,TitleId,Score
Abstract: The Art of Design,2017,Drama,TV-14,130,0
Cooper Barrett's Guide to Surviving Life,2016,Drama,TV-14,131,0
The Great British Baking Show,2016,Drama,TV-PG,132,94
Life in Pieces,2015,Drama,TV-14,133,68
Crazy Ex-Girlfriend,2017,Drama,TV-14,134,0
Easy,2016,Drama,TV-MA,135,0
Santa Clarita Diet,2017,Drama,TV-MA,136,82
No Tomorrow,2016,Drama,TV-14,137,0
Minimalism: A Documentary About the Important Things,2016,Drama,TV-PG,138,0
Girlboss,2017,Drama,TV-MA,139,94
Hot Girls Wanted: Turned On,2017,Drama,TV-MA,140,0
The Discovery,2017,Drama,TV-MA,141,0
13 Reasons Why,2017,Drama,TV-MA,142,99
Sandy Wexler,2017,Drama,TV-14,143,92
Chewing Gum,2017,Drama,TV-MA,144,93
Win It All,2017,Drama,TV-MA,145,0
MerlÃ­,2015,Drama,TV-PG,146,0
Amy Schumer: The Leather Special,2017,Drama,TV-MA,147,0
Louis C.K. 2017,2017,Drama,TV-MA,148,71
Dave Chappelle,2017,Drama,TV-MA,149,94
Almost Adults,2016,Drama,NR,150,0
The Brothers,2001,Drama,R,151,0
Skins,2013,Drama,TV-MA,152,0
The Cleveland Show,2012,Drama,TV-14,153,88
Absolutely Fabulous,2012,Drama,TV-14,154,59
Don't Trust the B---- in Apartment 23,2012,Drama,TV-14,155,0
Raising Hope,2013,Drama,TV-14,156,73
Come Fly With Me,2010,Drama,TV-14,157,0
Orange Is the New Black,2016,Drama,TV-MA,158,98
Brickleberry,2014,Drama,TV-MA,159,63
Bates Motel,2016,Drama,TV-14,160,83
BoJack Horseman,2016,Drama,TV-MA,161,0
Being Mary Jane: The Series,2016,Drama,TV-14,162,0
Documentary Now!,2016,Drama,TV-14,163,0
Grace and Frankie,2017,Drama,TV-MA,164,90
Unbreakable Kimmy Schmidt,2016,Drama,TV-14,165,0
The Get Down,2017,Drama,TV-MA,166,80
Love,2017,Drama,TV-MA,167,0
Bordertown,2016,Drama,TV-14,168,86
Jane The Virgin,2016,Drama,TV-14,169,91
Schitt's Creek,2016,Drama,TV-14,170,74
Dope,2015,Drama,R,171,79
Lovesick,2016,Drama,TV-MA,172,0
The Carmichael Show,2016,Drama,TV-14,173,69
Cooper Barrett's Guide to Surviving Life,2016,Drama,TV-14,174,0
The Great British Baking Show,2016,Drama,TV-PG,175,94
November Rule,2015,Drama,TV-14,176,0
Life in Pieces,2015,Drama,TV-14,177,68
Crazy Ex-Girlfriend,2017,Drama,TV-14,178,0
Easy,2016,Drama,TV-MA,179,0
Haters Back Off,2016,Drama,TV-14,180,58
Kubo and the Two Strings,2016,Drama,PG,181,96
Skins,2017,Drama,TV-MA,182,0
A Weekend with the Family,2016,Drama,TV-MA,183,0
Crazyhead,2016,Drama,TV-MA,184,0
Queen of Katwe,2016,Drama,PG,185,0
Little Boxes,2016,Drama,TV-14,186,61
Deidra & Laney Rob a Train,2017,Drama,TV-14,187,0
Girlboss,2017,Drama,TV-MA,188,94
Hot Girls Wanted: Turned On,2017,Drama,TV-MA,189,0
13 Reasons Why,2017,Drama,TV-MA,190,99
Hurricane Bianca,2016,Drama,TV-MA,191,0
Honeytrap,2014,Drama,NR,192,0
Greenleaf,2016,Drama,TV-14,193,62
Lazy Eye,2016,Drama,TV-MA,194,0
Like Cotton Twines,2016,Drama,NR,195,0
The Wedding Party,2016,Drama,TV-14,196,0
Dave Chappelle,2017,Drama,TV-MA,197,94
Only for One Night,2016,Drama,TV-MA,198,78
Boy Bye,2016,Drama,TV-MA,199,0
Almost Adults,2016,Drama,NR,200,0
Nancy Drew,2007,Drama,PG,201,0
30 Rock,2012,Drama,TV-14,202,66
Nurse Jackie,2015,Drama,TV-MA,203,82
Parks and Recreation,2015,Drama,TV-14,204,94
Drop Dead Diva,2014,Drama,TV-PG,205,0
Gilmore Girls,2006,Drama,TV-14,206,91
Parenthood,2014,Drama,TV-14,207,79
Life Unexpected,2010,Drama,TV-PG,208,55
Portlandia,2016,Drama,TV-14,209,62
New Girl,2016,Drama,TV-14,210,91
Don't Trust the B---- in Apartment 23,2012,Drama,TV-14,211,0
Raising Hope,2013,Drama,TV-14,212,73
Being Human (U.S.),2014,Drama,TV-14,213,58
Friends with Benefits,2011,Drama,TV-14,214,0
The Carrie Diaries,2013,Drama,TV-14,215,0
Baby Daddy,2016,Drama,TV-14,216,80
Halt and Catch Fire,2016,Drama,TV-14,217,0
The Angriest Man in Brooklyn,2014,Drama,R,218,0
5 to 7,2014,Drama,R,219,0
Chef's Table,2017,Drama,TV-MA,220,0
Grace and Frankie,2017,Drama,TV-MA,221,90
Unbreakable Kimmy Schmidt,2016,Drama,TV-14,222,0
The Get Down,2017,Drama,TV-MA,223,80
Sense8,2017,Drama,TV-MA,224,81
Love,2017,Drama,TV-MA,225,0
Bordertown,2016,Drama,TV-14,226,86
Girlfriends' Guide to Divorce,2015,Drama,TV-14,227,63
Schitt's Creek,2016,Drama,TV-14,228,74
The Carmichael Show,2016,Drama,TV-14,229,69
Chelsea,2017,Drama,TV-MA,230,0
Abstract: The Art of Design,2017,Drama,TV-14,231,0
Cooper Barrett's Guide to Surviving Life,2016,Drama,TV-14,232,0
The Great British Baking Show,2016,Drama,TV-PG,233,94
Life in Pieces,2015,Drama,TV-14,234,68
Crazy Ex-Girlfriend,2017,Drama,TV-14,235,0
Fried,2015,Drama,TV-MA,236,0
The Great Gilly Hopkins,2016,Drama,PG,237,69
The Magicians,2016,Drama,TV-MA,238,89
One Day at a Time,2017,Drama,TV-PG,239,0
No Tomorrow,2016,Drama,TV-14,240,0
Hot Girls Wanted: Turned On,2017,Drama,TV-MA,241,0
13 Reasons Why,2017,Drama,TV-MA,242,99
Better Off Single,2016,Drama,TV-MA,243,0
Sandy Wexler,2017,Drama,TV-14,244,92
Chewing Gum,2017,Drama,TV-MA,245,93
The Matchbreaker,2016,Drama,PG,246,79
Tramps,2017,Drama,TV-MA,247,0
Slam,2017,Drama,TV-MA,248,0
Cheer Squad,2016,Drama,TV-PG,249,61
Almost Adults,2016,Drama,NR,250,0
The Waterboy,1998,Drama,PG-13,251,82
10 Things I Hate About You,1999,Drama,PG-13,252,68
Grease,1978,Drama,PG,253,86
How to Lose a Guy in 10 Days,2003,Drama,PG-13,254,56
The Benchwarmers,2006,Drama,PG-13,255,77
Step Up,2006,Drama,PG-13,256,64
High School Musical 2,2007,Drama,TV-G,257,58
Twilight,2008,Drama,PG-13,258,89
Coraline,2009,Drama,PG,259,95
Hannah Montana: The Movie,2009,Drama,G,260,56
The Office (U.S.),2012,Drama,TV-14,261,97
Friday Night Lights,2010,Drama,TV-PG,262,81
StarStruck,2010,Drama,TV-G,263,0
Grey's Anatomy,2016,Drama,TV-14,264,98
Prison Break,2008,Drama,TV-14,265,98
90210,2013,Drama,TV-14,266,62
Gossip Girl,2012,Drama,TV-14,267,96
How I Met Your Mother,2014,Drama,TV-PG,268,94
Glee,2015,Drama,TV-PG,269,92
The Vampire Diaries,2017,Drama,TV-14,270,91
Family Guy,2015,Drama,TV-MA,271,98
Criminal Minds,2016,Drama,TV-14,272,98
Friends,2003,Drama,TV-14,273,98
Mean Girls 2,2011,Drama,PG-13,274,0
The Secret Life of the American Teenager,2013,Drama,TV-14,275,81
That '70s Show,2005,Drama,TV-14,276,89
Gilmore Girls,2006,Drama,TV-14,277,91
Parenthood,2014,Drama,TV-14,278,79
Heartland,2015,Drama,TV-PG,279,85
Pretty Little Liars,2016,Drama,TV-14,280,96
Shameless (U.S.),2016,Drama,TV-MA,281,97
Switched at Birth,2015,Drama,TV-14,282,83
New Girl,2016,Drama,TV-14,283,91
Hart of Dixie,2014,Drama,TV-PG,284,81
Pretty Little Liars,2016,Drama,TV-14,330,96
Shameless (U.S.),2016,Drama,TV-MA,331,97
New Girl,2016,Drama,TV-14,332,91
Revenge,2015,Drama,TV-PG,333,84
Scandal,2016,Drama,TV-14,334,92
Magic Mike,2012,Drama,R,335,77
Trouble with the Curve,2012,Drama,PG-13,336,63
Orange Is the New Black,2016,Drama,TV-MA,337,98
Baby Daddy,2016,Drama,TV-14,338,80
The Night Shift,2015,Drama,TV-14,339,93
The Originals,2016,Drama,TV-14,340,74
Home,2015,Drama,PG,341,94
How to Get Away with Murder,2016,Drama,TV-14,342,95
Zootopia,2016,Drama,PG,343,97
Finding Dory,2016,Drama,PG,344,98
Sausage Party,2016,Drama,R,345,91
Skin Wars,2016,Drama,TV-14,346,69
Girlboss,2017,Drama,TV-MA,347,94
13 Reasons Why,2017,Drama,TV-MA,348,99
Felipe Neto: My Life Makes No Sense,2017,Drama,TV-MA,349,0
Cheer Squad,2016,Drama,TV-PG,350,61
Lost,2010,Drama,TV-14,351,98
Weeds,2012,Drama,TV-MA,352,85
The Tudors,2010,Drama,TV-MA,353,0
Grey's Anatomy,2016,Drama,TV-14,354,98
Lie to Me,2010,Drama,TV-14,355,89
Prison Break,2008,Drama,TV-14,356,98
Gossip Girl,2012,Drama,TV-14,357,96
Glee,2015,Drama,TV-PG,358,92
The Vampire Diaries,2017,Drama,TV-14,359,91
The Secret Life of the American Teenager,2013,Drama,TV-14,360,81
Drop Dead Diva,2014,Drama,TV-PG,361,0
Gilmore Girls,2006,Drama,TV-14,362,91
Charmed,2005,Drama,TV-PG,363,90
White Collar,2014,Drama,TV-PG,364,93
House of Cards,2016,Drama,TV-MA,365,91
Pretty Little Liars,2016,Drama,TV-14,366,96
The Killing,2014,Drama,TV-14,367,73
